binomio,class,family,invasora,habitat,registros,zonas,nombre_comun
Pinus radiata,Pinopsida,Pinaceae,True,terrestrial,63,10,pino insigne
Trifolium pratense,Liliopsida,Fabaceae,False,terrestrial,62,15,
Modiola caroliniana,Magnoliopsida,Malvaceae,False,terrestrial,61,14,
Portulaca oleracea,Magnoliopsida,Portulacaceae,False,terrestrial,61,9,
Eucalyptus globulus,Magnoliopsida,Myrtaceae,True,terrestrial,61,12,
Stellaria media,Magnoliopsida,Caryophyllaceae,False,terrestrial,60,9,
Plantago major,Magnoliopsida,Plantaginaceae,True,terrestrial,60,15,
Marrubium vulgare,Magnoliopsida,Lamiaceae,True,terrestrial,59,10,
Cotula coronopifolia,Magnoliopsida,Asteraceae,False,terrestrial,59,7,
Nothoprocta perdicaria,Aves,Tinamidae,False,terrestrial,58,8,
Verbascum thapsus,Magnoliopsida,Scrophulariaceae,True,terrestrial,58,10,
Prunella vulgaris,Magnoliopsida,Lamiaceae,False,terrestrial,54,9,
Melilotus indicus,Magnoliopsida,Fabaceae,False,terrestrial,54,10,trébol de olor
Erodium moschatum,Magnoliopsida,Geraniaceae,False,terrestrial,53,10,
Mesembryanthemum crystallinum,Magnoliopsida,Aizoaceae,False,terrestrial,53,4,
Silene gallica,Magnoliopsida,Caryophyllaceae,False,terrestrial,52,10,
Cyprinus carpio,Actinopterygii,Cyprinidae,True,freshwater,50,9,
Carduus pycnocephalus,Magnoliopsida,Asteraceae,True,terrestrial,50,8,
Xenopus laevis,Amphibia,Pipidae,True,terrestrial|freshwater,49,5,rana africana
Hordeum murinum,Liliopsida,Poaceae,False,terrestrial,49,13,
Phoracantha recurva,Insecta,Cerambycidae,False,terrestrial,48,14,
Raphanus sativus,Magnoliopsida,Brassicaceae,True,terrestrial,47,13,
Medicago sativa,Magnoliopsida,Fabaceae,False,terrestrial,47,12,
Cichlasoma facetum,Actinopterygii,Cichlidae,True,freshwater,47,7,
Crocosmia crocosmiiflora,Liliopsida,Iridaceae,False,terrestrial,45,7,
Lobularia maritima,Magnoliopsida,Brassicaceae,False,terrestrial,45,11,
Chamomilla suaveolens,Magnoliopsida,Asteraceae,True,terrestrial,44,12,
Lupinus polyphyllus,Magnoliopsida,Fabaceae,False,terrestrial,44,2,
Raphanus raphanistrum,Magnoliopsida,Brassicaceae,True,terrestrial,42,13,
Lamium amplexicaule,Magnoliopsida,Lamiaceae,False,terrestrial,41,10,
Calystegia sepium,Magnoliopsida,Solanaceae,False,terrestrial,41,9,
Alnus glutinosa,Magnoliopsida,Betulaceae,False,terrestrial,41,9,
Hirschfeldia incana,Magnoliopsida,Brassicaceae,False,terrestrial,40,10,
Senecio vulgaris,Magnoliopsida,Asteraceae,False,terrestrial,40,15,
