zona,speciesKey,registros
Gran Concepcion,3189767,12
Gran Concepcion,2436940,10
Gran Concepcion,3085625,9
Gran Concepcion,5341784,6
Gran Concepcion,2891664,5
Gran Concepcion,2928767,5
Gran Concepcion,7733140,5
Gran Concepcion,3141855,4
Gran Concepcion,3189739,4
Gran Concepcion,5358265,3
Gran Concepcion,8049400,3
Gran Concepcion,8427624,3
Gran Concepcion,1114140,2
Gran Concepcion,2479407,2
Gran Concepcion,2888439,2
Gran Concepcion,2888443,2
Gran Concepcion,5204019,2
Gran Concepcion,12186874,1
Gran Concepcion,2412370,1
Gran Concepcion,2477581,1
Gran Concepcion,3085381,1
Gran Concepcion,3173271,1
Gran Concepcion,7821030,1
Gran Concepcion,2996929,37
Gran Concepcion,3033339,27
Gran Concepcion,5341297,25
Gran Concepcion,5384848,21
Gran Concepcion,2888995,14
Gran Concepcion,3145214,14
Gran Concepcion,8174785,13
Gran Concepcion,5364245,11
Gran Concepcion,5339050,8
Gran Concepcion,7678610,8
Gran Concepcion,5352251,7
Gran Concepcion,5372639,7
Gran Concepcion,7538163,7
Gran Concepcion,2439261,6
Gran Concepcion,2984366,5
Gran Concepcion,3033318,5
Gran Concepcion,3040227,5
Gran Concepcion,3040983,5
Gran Concepcion,3108983,4
Gran Concepcion,3084719,3
Gran Concepcion,3105782,3
Gran Concepcion,2888728,2
Gran Concepcion,3085360,2
Gran Concepcion,3190381,2
Gran Concepcion,5373368,2
Gran Concepcion,7301010,2
Gran Concepcion,8215487,2
Gran Concepcion,2439270,1
Gran Concepcion,2889011,1
Gran Concepcion,3083957,1
Gran Concepcion,3107987,1
Gran Concepcion,3131229,1
Gran Concepcion,3170875,1
Gran Concepcion,5289919,1
Gran Concepcion,5380041,1
Gran Concepcion,6409706,1
Gran Concepcion,8195144,1
Gran Concepcion,8941837,1
Gran Concepcion,9150405,1
Gran Concepcion,5347796,73
Gran Concepcion,3169708,56
Gran Concepcion,2951984,29
Gran Concepcion,3171954,28
Gran Concepcion,2889934,25
Gran Concepcion,5358748,20
Gran Concepcion,1311649,15
Gran Concepcion,5394163,14
Gran Concepcion,3172077,13
Gran Concepcion,5554574,13
Gran Concepcion,2765156,11
Gran Concepcion,2868827,10
Gran Concepcion,2975014,10
Gran Concepcion,2443002,9
Gran Concepcion,3172057,9
Gran Concepcion,5359429,9
Gran Concepcion,5359330,7
Gran Concepcion,5384604,7
Gran Concepcion,5359395,6
Gran Concepcion,3172048,5
Gran Concepcion,5359510,5
Gran Concepcion,3118430,4
Gran Concepcion,3171949,4
Gran Concepcion,3172086,4
Gran Concepcion,5358694,4
Gran Concepcion,5359477,3
Gran Concepcion,5361815,3
Gran Concepcion,8324121,3
Gran Concepcion,3085633,2
Gran Concepcion,3089150,2
Gran Concepcion,5331235,2
Gran Concepcion,2702870,1
Gran Concepcion,2975384,1
Gran Concepcion,3097166,1
Gran Concepcion,3171939,1
Gran Concepcion,5331181,1
Gran Concepcion,5359246,1
Gran Concepcion,5361865,1
Gran Concepcion,5421116,1
Gran Concepcion,7570897,1
Gran Concepcion,7736551,1
Gran La Serena,1340503,81
Gran La Serena,8184903,10
Gran La Serena,2778437,4
Gran La Serena,2441022,3
Gran La Serena,2979000,3
Gran La Serena,3083667,2
Gran La Serena,3190653,2
Gran La Serena,3974754,2
Gran La Serena,5200757,2
Gran La Serena,2703041,1
Gran La Serena,2979474,1
Gran La Serena,3152633,1
Gran La Serena,8971274,1
Gran La Serena,2480830,69
Gran La Serena,2495414,54
Gran La Serena,5219173,45
Gran La Serena,3112110,24
Gran La Serena,7627205,22
Gran La Serena,3112801,21
Gran La Serena,5858758,16
Gran La Serena,5228080,14
Gran La Serena,5392252,14
Gran La Serena,2441056,13
Gran La Serena,8200663,13
Gran La Serena,2370771,10
Gran La Serena,9751099,10
Gran La Serena,4984851,6
Gran La Serena,2928390,2
Gran La Serena,3112364,2
Gran La Serena,5178082,2
Gran La Serena,7820753,2
Gran La Serena,8149099,2
Gran La Serena,8181293,2
Gran La Serena,2329622,1
Gran La Serena,2891930,1
Gran La Serena,5391480,1
Gran La Serena,7903057,1
Gran La Serena,8370958,1
Gran La Serena,8542672,1
Gran La Serena,2435035,29
Gran La Serena,5554961,16
Gran La Serena,4989904,14
Gran La Serena,5531376,14
Gran La Serena,9485490,13
Gran La Serena,2888380,8
Gran La Serena,2440886,6
Gran La Serena,3034922,6
Gran La Serena,3066386,4
Gran La Serena,2913548,3
Gran La Serena,2928751,3
Gran La Serena,5334218,3
Gran La Serena,3147168,2
Gran La Serena,3176787,2
Gran La Serena,4286975,2
Gran La Serena,2713559,1
Gran La Serena,2890040,1
Gran La Serena,3050595,1
Gran La Serena,3593900,1
Gran La Serena,5375920,1
Gran La Serena,9297163,1
Gran La Serena,3084839,50
Gran La Serena,1316908,17
Gran La Serena,3935079,12
Gran La Serena,2971016,11
Gran La Serena,3172129,9
Gran La Serena,2434333,8
Gran La Serena,2927069,6
Gran La Serena,2965201,4
Gran La Serena,3171145,4
Gran La Serena,5373358,4
Gran La Serena,9151957,4
Gran La Serena,3152378,3
Gran La Serena,3935047,3
Gran La Serena,7886346,3
Gran La Serena,7952072,3
Gran La Serena,3084837,2
Gran La Serena,11055820,1
Gran La Serena,2219218,1
Gran La Serena,2873861,1
Gran La Serena,2928576,1
Gran La Serena,2971095,1
Gran La Serena,3086240,1
Gran La Serena,3756029,1
Gran La Serena,5289762,1
Gran La Serena,5289906,1
Gran La Serena,5357013,1
Gran La Serena,5376925,1
Gran La Serena,8848598,1
Gran La Serena,2484396,56
Gran La Serena,5231190,47
Gran La Serena,2928783,36
Gran La Serena,5341112,35
Gran La Serena,2477581,20
Gran La Serena,2891661,19
Gran La Serena,2436940,16
Gran La Serena,2888439,11
Gran La Serena,1114140,8
Gran La Serena,2479407,7
Gran La Serena,8208358,3
Gran La Serena,1114246,2
Gran La Serena,3188875,2
Gran La Serena,5341766,2
Gran La Serena,2928774,1
Gran La Serena,3141855,1
Gran La Serena,3189767,1
Gran La Serena,5341784,1
Gran La Serena,5361801,1
Gran La Serena,5380041,9
Gran La Serena,7678610,7
Gran La Serena,3145214,4
Gran La Serena,4937445,4
Gran La Serena,3108983,3
Gran La Serena,2439261,2
Gran La Serena,3040983,2
Gran La Serena,3083957,2
Gran La Serena,3040227,1
Gran La Serena,3131229,1
Gran La Serena,3169313,1
Gran La Serena,5352251,1
Gran La Serena,5372639,1
Gran La Serena,5373368,1
Gran La Serena,5384848,1
Gran La Serena,7538163,1
Gran La Serena,2889934,20
Gran La Serena,3171954,12
Gran La Serena,1311649,10
Gran La Serena,2443002,9
Gran La Serena,5358748,8
Gran La Serena,2868827,5
Gran La Serena,5394163,4
Gran La Serena,3089150,3
Gran La Serena,5289534,2
Gran La Serena,5361815,2
Gran La Serena,3118430,1
Gran La Serena,3172048,1
Gran La Serena,3172077,1
Gran La Serena,3172086,1
Gran La Serena,5358935,1
Gran La Serena,7570897,1
Gran La Serena,7705930,1
Gran La Serena,7736551,1
Antofagasta,2703041,3
Antofagasta,3083652,1
Antofagasta,5371879,1
Antofagasta,9657641,1
Antofagasta,2495414,8
Antofagasta,5858758,8
Antofagasta,2480830,5
Antofagasta,5219173,5
Antofagasta,8149099,3
Antofagasta,2435035,6
Antofagasta,2975667,1
Antofagasta,3034922,1
Antofagasta,3935079,4
Antofagasta,1316908,3
Antofagasta,9151957,3
