speciesKey,nombre_gbif,lat,lon,anio,region_gbif,licencia,foto_url,gbif_id
5375388,Capsella bursa-pastoris,-53.125125,-70.900063,2026,Magallanes y Antártica Chilena,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/604464800/original.jpg,5938257890
5375388,Capsella bursa-pastoris,-33.443346,-70.621434,2026,Región Metropolitana de Santiago,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/643133980/original.jpg,6234693218
5375388,Capsella bursa-pastoris,-33.754648,-71.322664,2026,Región Metropolitana de Santiago,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/660255951/original.jpg,6320475080
9485490,Erodium cicutarium,-36.54067,-72.933055,2026,Bío-Bío,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/605879965/original.jpg,6130134586
9485490,Erodium cicutarium,-34.178689,-70.779526,2026,Libertador General Bernardo O'Higgins,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/613018554/original.jpg,6147587246
9485490,Erodium cicutarium,-51.008842,-72.590613,2026,Magallanes y Antártica Chilena,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/629735890/original.jpg,6188450189
5414995,Digitalis purpurea,-39.771899,-72.427424,2026,Los Ríos,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/606783194/original.jpg,6129906040
5414995,Digitalis purpurea,-39.96597,-73.113701,2026,Los Ríos,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/607922987/original.jpg,6130159362
5414995,Digitalis purpurea,-37.569655,-71.67108,2026,Bío-Bío,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/606285162/original.jpg,6130431543
2925895,Echium plantagineum,-33.608069,-70.288581,2026,Región Metropolitana de Santiago,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/612004525/original.jpg,6133129304
